driver,file,sector,y,delta,speed_mean,speed_min,speed_max,speed_entry,speed_exit,speed_p95,speed_p05,thr_mean,thr_std,br_mean,br_std,time_on_brake_s,brake_area
Duncan Schuurman,Garage 61 - Duncan Schuurman - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.906 - 01K5HZR7TBEPV4THNY68AVA06Z.csv,NASCAR T3–T4 (Oval),12.730822113084614,0.6364140109421541,51.361533639841696,29.931625,63.310814,31.88391695120018,63.127385563282694,62.88164144495894,34.31418741875996,0.9877660707124011,0.048507587699481554,0.001132367170944764,0.00550899465151642,0.0,0.009450713967029612
Duncan Schuurman,Garage 61 - Duncan Schuurman - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.906 - 01K5HZR7TBEPV4THNY68AVA06Z.csv,Frontstretch Chicane Exit,9.490368050915862,0.6165601901421844,46.01485733922261,28.906317,65.669075,63.4525286728631,43.97168408554765,65.449727717111,29.90505276478586,0.6229165128791546,0.4520793487649071,0.1317091189902827,0.21722923625446003,2.7433095147178665,1.308804273283904
Duncan Watts,Garage 61 - Duncan Watts - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.13.894 - 01K553MB2EZB12524MPGY7J439.csv,Frontstretch Chicane,6.013579736595024,0.0463185954252916,47.96057098347108,41.867367,54.62132,46.00651849824441,44.84979515895981,54.16705620755293,42.22267978100243,0.6307845840105347,0.46463968841874664,0.03213487291964967,0.06178878256241742,1.2449989298419386,0.20434060407702304
Duncan Watts,Garage 61 - Duncan Watts - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.13.894 - 01K553MB2EZB12524MPGY7J439.csv,Infield Entry/Horseshoe,10.50746837752943,0.16852902041922846,48.26637960793651,37.17124,58.86222,45.89484542758564,40.23253376501205,58.3122861391122,37.736534555872794,0.6107716298122012,0.4642966335285785,0.03162650708607248,0.0531905553293127,1.8880607240873193,0.3379388632942961
Duncan Watts,Garage 61 - Duncan Watts - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.13.894 - 01K553MB2EZB12524MPGY7J439.csv,Infield Switchbacks,10.894748619948974,0.11051963350890759,53.10196905045871,41.454903,61.431248,42.54361863635954,49.033291334382575,60.9265020988794,44.10027125944622,0.8070283185443425,0.38334923763190354,0.026807507675023944,0.07623158215347622,1.4044011892902974,0.30675548026646965
Duncan Watts,Garage 61 - Duncan Watts - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.13.894 - 01K553MB2EZB12524MPGY7J439.csv,NASCAR T1–T2 (Oval),16.015574162716945,0.34427800010703535,40.524348649740936,15.438466,62.931713,50.19714925098162,62.56582568056181,62.07329664655639,18.728914298890277,0.7368715168024595,0.4209928451283755,0.07747216111733972,0.1901584299799899,2.2521901166320704,1.1018316189193598
Duncan Watts,Garage 61 - Duncan Watts - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.13.894 - 01K553MB2EZB12524MPGY7J439.csv,Backstretch Chicane,9.139189577558144,0.11746080099517009,55.4774948464351,30.019081,69.00786,63.23030004095432,30.512530612389995,68.76376221085415,31.900357662446737,0.5901270289751652,0.4816423194237791,0.14014224975698114,0.28576702390304826,1.8206979236541614,1.1926384543442676
Duncan Watts,Garage 61 - Duncan Watts - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.13.894 - 01K553MB2EZB12524MPGY7J439.csv,NASCAR T3–T4 (Oval),12.32833493287174,0.23392683072928122,52.78112206775068,30.26072,64.92369,31.90393815295158,64.72074925574485,64.42282695602758,34.76702855350133,0.9977499920325202,0.02160482171368026,0.0,0.0,0.0,0.0
Duncan Watts,Garage 61 - Duncan Watts - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.13.894 - 01K553MB2EZB12524MPGY7J439.csv,Frontstretch Chicane Exit,8.995104592779738,0.12129673200606028,48.37768046368715,31.956423,67.68653,65.08949650226354,44.41005633562205,67.47220128000862,32.78128841152463,0.6642256474027961,0.4300208577039062,0.13758028628703417,0.27802652605856626,1.9325420023550217,1.2994781324304645
Edwin Onofre,Garage 61 - Edwin Onofre - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.205 - 01K5N18VZ2QM13RE1KVQ8ND87X.csv,Frontstretch Chicane,6.0303651085463175,0.06310396737658497,47.8191496456044,43.765038,53.79864,46.25348999472109,47.49853811004928,53.32157368250515,43.84431099469072,0.7213653070109889,0.41825360932426076,0.037057634404412176,0.1117555642188873,0.7302395248630307,0.23528608527400233
Edwin Onofre,Garage 61 - Edwin Onofre - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.205 - 01K5N18VZ2QM13RE1KVQ8ND87X.csv,Infield Entry/Horseshoe,10.411257754086186,0.07231839697598552,48.57972698086125,36.49124,58.221912,48.466541919611,41.06425328505368,57.675121119930196,37.425266648858916,0.5520604170057464,0.4831363445119575,0.024374379209155295,0.052398169801924493,1.3014072192607733,0.2483512272757922
Edwin Onofre,Garage 61 - Edwin Onofre - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.205 - 01K5N18VZ2QM13RE1KVQ8ND87X.csv,Infield Switchbacks,10.958001013314982,0.1737720268749161,52.88560401217657,42.10875,60.664085,43.26112391213726,44.65021693498871,60.292464196592384,44.30260338156231,0.7121651985355901,0.4423378433823329,0.019822455042318134,0.06108416971398268,1.0273125949982795,0.22738518142593916
Edwin Onofre,Garage 61 - Edwin Onofre - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.205 - 01K5N18VZ2QM13RE1KVQ8ND87X.csv,NASCAR T1–T2 (Oval),16.209871035649265,0.5385748730393551,40.025523889117046,17.195652,62.171043,44.93562940457221,61.80607407437551,61.306559535537446,18.60409268114278,0.7437711038454826,0.40295423992580776,0.06128775103450001,0.16834900559246627,1.5829952183251235,0.7925213408315989
Edwin Onofre,Garage 61 - Edwin Onofre - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.205 - 01K5N18VZ2QM13RE1KVQ8ND87X.csv,Backstretch Chicane,9.187997984735368,0.16626920817239466,55.16896397822141,29.939632,68.78405,62.47738109309838,30.70774312808913,68.53843387356753,32.00513423948479,0.5757821338908633,0.4857880610236524,0.1333599882827045,0.27035367871989385,2.0098745591608616,1.1606913090537816
Edwin Onofre,Garage 61 - Edwin Onofre - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.205 - 01K5N18VZ2QM13RE1KVQ8ND87X.csv,NASCAR T3–T4 (Oval),12.326869945092938,0.23246184295047811,52.81419165625,30.407583,64.441414,32.46111588793147,64.26394247153904,64.01222001726852,35.39270771408875,0.9987623912907608,0.00979063902554424,0.0,0.0,0.0,0.0
Edwin Onofre,Garage 61 - Edwin Onofre - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.205 - 01K5N18VZ2QM13RE1KVQ8ND87X.csv,Frontstretch Chicane Exit,9.080637158574943,0.20682929780126535,47.77195684898711,31.194695,66.662636,64.58948165728991,44.4440727414549,66.39282650344157,32.12651875694385,0.635290939384294,0.4579779826548517,0.12397927090119706,0.266262060626546,1.7735619450341684,1.1837707424927402
Eric Nickens,Garage 61 - Eric Nickens - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.152 - 01K57VVY1Y6Y5TF86RBGWBNBSF.csv,Frontstretch Chicane,6.098375553954789,0.1311144127850561,47.142606521621616,42.299076,53.099625,43.59271521393978,46.397148501122324,52.83717495284967,42.78357551318221,0.7200152572578705,0.4319573068791201,0.03359266481205406,0.0940922926795273,0.5717227081832614,0.21910784398788682
Eric Nickens,Garage 61 - Eric Nickens - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.152 - 01K57VVY1Y6Y5TF86RBGWBNBSF.csv,Infield Entry/Horseshoe,10.372166411982253,0.03322705487205191,48.58488107211539,36.90661,58.89569,47.44863688867142,39.824337349886,58.318916312852544,38.2166699690887,0.6256123073825108,0.44689505582990785,0.04470491242944054,0.07598552468906311,1.9447812022466724,0.470934489284792
Eric Nickens,Garage 61 - Eric Nickens - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.152 - 01K57VVY1Y6Y5TF86RBGWBNBSF.csv,Infield Switchbacks,11.019920839713206,0.23569185327314024,52.31847532180451,41.107098,60.862904,42.27213848573074,45.0870964851003,60.38784684359005,43.88993965996606,0.761643956336371,0.4021649412108878,0.03414678735649759,0.0687604602552827,2.238421420566745,0.38031835842911393
Eric Nickens,Garage 61 - Eric Nickens - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.152 - 01K57VVY1Y6Y5TF86RBGWBNBSF.csv,NASCAR T1–T2 (Oval),16.169112297187763,0.4978161345778531,40.16297222222222,16.18568,62.061954,46.36791238717768,61.73688300976826,61.30144389200751,18.679440714140455,0.7549311956744549,0.4074104135286878,0.07055427092421228,0.17348631879323032,2.08429963205936,0.9501834745829532
