file,driver,lap_time_sec
Garage 61 - Nate Whitmire - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.626 - 01K5AVYN7WG4H8PMB77N0E8H03.csv,Nate Whitmire,77.626
Garage 61 - Nicholas Spegel - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.958 - 01K59QF4Z78QHDM0C8CJTV2BGE.csv,Nicholas Spegel,76.958
Garage 61 - Oscar Vaucelle Kerboul - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.846 - 01K5CQM2E41HXHHGG9E1XE8WBT.csv,Oscar Vaucelle Kerboul,76.846
Garage 61 - Patrick Hollnsteiner - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.690 - 01K5HMMFBH21R5KMNGKZZCYMND.csv,Patrick Hollnsteiner,77.69
Garage 61 - Pete F - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.071 - 01K5AGNGXCS8SWFR860CX0N98A.csv,Pete F,74.071
Garage 61 - Philip Ball - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.140 - 01K5J6R11H2JWQGWQ4A3ZB3TDR.csv,Philip Ball,77.14
Garage 61 - Philip Brown - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.846 - 01K5M4SSRE92DBYFKR2PNKRPJY.csv,Philip Brown,76.846
Garage 61 - Pranav Agarwal - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.619 - 01K5DFX5ADDWXKQTXHB0XGB52Q.csv,Pranav Agarwal,77.619
Garage 61 - Quintin de Klerk - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.894 - 01K5R54SXBHV5T3TXG5RTJ2AA2.csv,Quintin de Klerk,77.894
Garage 61 - RJ Hetge - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.946 - 01K5JNJ3619KT9607ANKM023FX.csv,RJ Hetge,76.946
Garage 61 - Rico Schmitt - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.625 - 01K5F89472VQPAPCJWTCN6AW70.csv,Rico Schmitt,74.625
Garage 61 - Ruben Reyter - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.680 - 01K5HCBTV309ZESA7NYT56960Q.csv,Ruben Reyter,77.68
Garage 61 - Ruben Torres - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.806 - 01K5JB6ZACTMFHYJT520MYF4WH.csv,Ruben Torres,77.806
Garage 61 - Rui Costa - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.813 - 01K5DBRC4MJQ2SX66VZ8PR0DVZ.csv,Rui Costa,77.813
Garage 61 - Sander Blaauw - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.594 - 01K5H664139B7CPVWQ0SHP2ZVC.csv,Sander Blaauw,77.594
Garage 61 - Santiago Fressineau - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.159 - 01K5EWSBFTW389SX4W5EW1W17D.csv,Santiago Fressineau,78.159
Garage 61 - Saul Gold-Hatfield - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.683 - 01K5RWKZJ6Q8RVB85X70A0151W.csv,Saul Gold-Hatfield,77.683
Garage 61 - Sean Meloy - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.203 - 01K5F45REBAEK1BNXS9PJHF3MQ.csv,Sean Meloy,77.203
Garage 61 - Sean Vale - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.820 - 01K5S16R5DV7K0S7XXPHQX38MK.csv,Sean Vale,76.82
Garage 61 - Sheven Marshall - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.718 - 01K5KTPBVP0NNSG0MCRT9NDE2B.csv,Sheven Marshall,77.718
Garage 61 - Sonny Proulx - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.845 - 01K5FG6B143V5KV9AEYZKNZPKP (1).csv,Sonny Proulx,76.845
Garage 61 - Sonny Proulx - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.845 - 01K5FG6B143V5KV9AEYZKNZPKP.csv,Sonny Proulx,76.845
Garage 61 - Stephen Faes - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.803 - 01K5EM3AFS7ZQJKMZKRQ6AYAZ1.csv,Stephen Faes,77.803
Garage 61 - Steve Gosselin - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.989 - 01K5JES9PVHFQ553RQE6KDR5R0.csv,Steve Gosselin,76.989
Garage 61 - Steve Roessel - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.823 - 01K5EP2AWGNFNNJFQTG0X0ZFEC.csv,Steve Roessel,77.823
Garage 61 - Steven Leonhard - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.308 - 01K5QNM40CYD7ZD4FH37EEGX4S.csv,Steven Leonhard,77.308
Garage 61 - Thomas Godfrey - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.589 - 01K5JEQKWWSD5XVADSDFZD71HM.csv,Thomas Godfrey,77.589
Garage 61 - Timothy Gardinier - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.906 - 01K5Q5QG9PECH0XH4JZZ296REE.csv,Timothy Gardinier,77.906
Garage 61 - Tom Brice - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.097 - 01K4ZDDEF4JPH205Y1CP45828M.csv,Tom Brice,77.097
Garage 61 - Travis Brown - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.996 - 01K5DA0HJ27ARGN05B7TNE0JDP.csv,Travis Brown,76.996
Garage 61 - Travis Prather - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.586 - 01K585662JQZ6G0VJ2MHXM5ZAE.csv,Travis Prather,77.586
Garage 61 - William Wahl - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.174 - 01K5ENSX905AEK85WRYNT8VYYZ.csv,William Wahl,78.174
Garage 61 - Xavier b - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.699 - 01K5FF2AZSKPVGM67MQR42JA8R.csv,Xavier b,77.699
Garage 61 - Zack Niven - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.921 - 01K5PP7CFPWTNKSY28ZSSVJ7EP.csv,Zack Niven,77.921
Garage 61 - bruno meges - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.325 - 01K5PTXJJC5S63GB06MXSP20KH.csv,bruno meges,77.325
Garage 61 - cale orosz - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.339 - 01K5QKESNBHWK8H4QGH3P5NZEG.csv,cale orosz,74.339
Garage 61 - dawayne young - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.702 - 01K5NATAD58AHTSFM0EYAWNA87.csv,dawayne young,77.702
Garage 61 - greg cook - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.574 - 01K5RMVP0M5RN6Z47E9C7HM4XF.csv,greg cook,77.574
Garage 61 - jesse decker - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.961 - 01K5KMH6BCPX59Y4R6K079DNCA.csv,jesse decker,76.961
Garage 61 - kamil kamil - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.752 - 01K5MDSY3278EA071C3BCGHTSC.csv,kamil kamil,77.752
Garage 61 - koen alpaerts - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.826 - 01K5C9NR1H2MZQV8SD2YFRZMHE.csv,koen alpaerts,76.826
Garage 61 - matthew gary - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.801 - 01K5Q6DTPPCVMGVG37FYH00C6A.csv,matthew gary,76.801
Garage 61 - matthew swindlehurst - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.468 - 01K5CPKJA8BQB9XHP7EXNW3K20.csv,matthew swindlehurst,77.468
Garage 61 - neel vadgama - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.475 - 01K5Q5Q94K5M3Y3GPEFGAG548F.csv,neel vadgama,74.475
Garage 61 - peter hoppe jr - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.668 - 01K57KBWRAYYZ9Z5KDSJ1TDQVP.csv,peter hoppe jr,77.668
Garage 61 - tyler brown - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.953 - 01K5FHG7H5VKWZQZRDJBBGH2P7.csv,tyler brown,76.953
Garage 61 - Álvaro Campos - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.193 - 01K5CF9EHYVF99WNKHX34GS6PZ.csv,Álvaro Campos,77.193
Garage 61 - Álvaro Manzaneque - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.105 - 01K5PDPKRDGS91BNK6HJ84BQ70.csv,Álvaro Manzaneque,77.105
